"D"	"H"	"P"
"ENSG00000019995"	FALSE	FALSE	FALSE
"ENSG00000020129"	TRUE	TRUE	FALSE
"ENSG00000020181"	TRUE	TRUE	TRUE
"ENSG00000020256"	FALSE	FALSE	FALSE
"ENSG00000020426"	FALSE	FALSE	FALSE
"ENSG00000020577"	FALSE	FALSE	FALSE
"ENSG00000020633"	TRUE	TRUE	FALSE
"ENSG00000020922"	TRUE	FALSE	FALSE
"ENSG00000021300"	TRUE	TRUE	FALSE
"ENSG00000021355"	TRUE	TRUE	FALSE
"ENSG00000021488"	TRUE	FALSE	FALSE
"ENSG00000021574"	FALSE	FALSE	FALSE
"ENSG00000021645"	FALSE	TRUE	FALSE
"ENSG00000021762"	FALSE	FALSE	FALSE
"ENSG00000021776"	FALSE	FALSE	FALSE
"ENSG00000021826"	FALSE	FALSE	FALSE
"ENSG00000022267"	FALSE	FALSE	FALSE
"ENSG00000022277"	FALSE	FALSE	FALSE
"ENSG00000022567"	FALSE	FALSE	FALSE
"ENSG00000022840"	FALSE	TRUE	FALSE
"ENSG00000022976"	FALSE	FALSE	FALSE
"ENSG00000023041"	FALSE	FALSE	FALSE
"ENSG00000023171"	TRUE	FALSE	FALSE
"ENSG00000023191"	TRUE	FALSE	FALSE
"ENSG00000023228"	FALSE	FALSE	FALSE
"ENSG00000023287"	TRUE	FALSE	FALSE
"ENSG00000023318"	FALSE	FALSE	FALSE
"ENSG00000023330"	FALSE	FALSE	FALSE
"ENSG00000023445"	TRUE	TRUE	FALSE
"ENSG00000023516"	TRUE	FALSE	FALSE
"ENSG00000023572"	TRUE	TRUE	FALSE
"ENSG00000023608"	FALSE	FALSE	FALSE
"ENSG00000023697"	TRUE	TRUE	FALSE
"ENSG00000023734"	FALSE	TRUE	FALSE
"ENSG00000023839"	TRUE	TRUE	FALSE
"ENSG00000023892"	TRUE	TRUE	FALSE
"ENSG00000023902"	FALSE	FALSE	FALSE
"ENSG00000023909"	TRUE	TRUE	FALSE
"ENSG00000024048"	FALSE	FALSE	FALSE
"ENSG00000024422"	FALSE	FALSE	FALSE
"ENSG00000024862"	TRUE	FALSE	FALSE
"ENSG00000025039"	FALSE	FALSE	FALSE
"ENSG00000025156"	TRUE	TRUE	FALSE
"ENSG00000025293"	FALSE	FALSE	FALSE
"ENSG00000025434"	FALSE	FALSE	FALSE
"ENSG00000025708"	TRUE	FALSE	FALSE
"ENSG00000025770"	TRUE	FALSE	FALSE
"ENSG00000025772"	FALSE	FALSE	FALSE
"ENSG00000025796"	FALSE	FALSE	FALSE
"ENSG00000025800"	FALSE	TRUE	FALSE
"ENSG00000026025"	FALSE	FALSE	FALSE
"ENSG00000026036"	TRUE	FALSE	FALSE
"ENSG00000026103"	FALSE	FALSE	FALSE
"ENSG00000026297"	TRUE	TRUE	FALSE
"ENSG00000026508"	FALSE	TRUE	FALSE
"ENSG00000026652"	FALSE	FALSE	FALSE
"ENSG00000026751"	TRUE	TRUE	TRUE
"ENSG00000026950"	TRUE	TRUE	TRUE
"ENSG00000027001"	FALSE	FALSE	FALSE
"ENSG00000027075"	FALSE	FALSE	FALSE
"ENSG00000027644"	TRUE	FALSE	FALSE
"ENSG00000027697"	TRUE	TRUE	FALSE
"ENSG00000027847"	FALSE	FALSE	FALSE
"ENSG00000027869"	FALSE	FALSE	FALSE
"ENSG00000028116"	TRUE	TRUE	FALSE
"ENSG00000028137"	FALSE	FALSE	FALSE
"ENSG00000028203"	FALSE	FALSE	FALSE
"ENSG00000028277"	TRUE	TRUE	FALSE
"ENSG00000028310"	FALSE	FALSE	FALSE
"ENSG00000028528"	FALSE	FALSE	FALSE
"ENSG00000028839"	FALSE	TRUE	FALSE
"ENSG00000029153"	FALSE	FALSE	FALSE
"ENSG00000029363"	FALSE	FALSE	FALSE
"ENSG00000029364"	FALSE	FALSE	FALSE
"ENSG00000029534"	FALSE	FALSE	FALSE
"ENSG00000029639"	FALSE	FALSE	FALSE
"ENSG00000029725"	FALSE	FALSE	FALSE
"ENSG00000029993"	FALSE	FALSE	FALSE
"ENSG00000030066"	TRUE	FALSE	FALSE
"ENSG00000030110"	FALSE	FALSE	FALSE
"ENSG00000030304"	TRUE	TRUE	FALSE
"ENSG00000030419"	FALSE	FALSE	FALSE
"ENSG00000030582"	TRUE	FALSE	FALSE
"ENSG00000031003"	TRUE	FALSE	FALSE
"ENSG00000031081"	TRUE	TRUE	FALSE
"ENSG00000031691"	TRUE	TRUE	FALSE
"ENSG00000031698"	FALSE	FALSE	FALSE
"ENSG00000031823"	FALSE	FALSE	FALSE
"ENSG00000032219"	FALSE	FALSE	FALSE
"ENSG00000032389"	FALSE	FALSE	FALSE
"ENSG00000032444"	FALSE	FALSE	FALSE
"ENSG00000032742"	FALSE	FALSE	FALSE
"ENSG00000033011"	FALSE	FALSE	FALSE
"ENSG00000033030"	FALSE	FALSE	FALSE
"ENSG00000033050"	FALSE	FALSE	FALSE
"ENSG00000033100"	FALSE	FALSE	FALSE
"ENSG00000033122"	TRUE	TRUE	FALSE
"ENSG00000033170"	FALSE	FALSE	FALSE
"ENSG00000033178"	FALSE	FALSE	FALSE
"ENSG00000033327"	FALSE	TRUE	FALSE
"ENSG00000033627"	FALSE	FALSE	FALSE
"ENSG00000033800"	TRUE	TRUE	FALSE
"ENSG00000033867"	TRUE	TRUE	FALSE
"ENSG00000034053"	FALSE	FALSE	FALSE
"ENSG00000034152"	FALSE	FALSE	FALSE
"ENSG00000034510"	FALSE	FALSE	FALSE
"ENSG00000034533"	FALSE	FALSE	FALSE
"ENSG00000034677"	TRUE	FALSE	FALSE
"ENSG00000034693"	FALSE	FALSE	FALSE
"ENSG00000034713"	FALSE	FALSE	FALSE
"ENSG00000034971"	TRUE	TRUE	FALSE
"ENSG00000035115"	FALSE	FALSE	FALSE
"ENSG00000035141"	FALSE	FALSE	FALSE
"ENSG00000035403"	TRUE	TRUE	FALSE
"ENSG00000035664"	FALSE	TRUE	FALSE
"ENSG00000035681"	TRUE	FALSE	FALSE
"ENSG00000035687"	TRUE	TRUE	FALSE
"ENSG00000035862"	TRUE	TRUE	TRUE
"ENSG00000035928"	FALSE	FALSE	FALSE
"ENSG00000036054"	TRUE	FALSE	FALSE
"ENSG00000036257"	FALSE	FALSE	FALSE
"ENSG00000036448"	TRUE	TRUE	FALSE
"ENSG00000036530"	TRUE	TRUE	FALSE
"ENSG00000036549"	FALSE	FALSE	FALSE
