"DEgenes_DCM"	"DEgenes_HCM"	"DEgenes_PPCM"	"DEgenes_IntDCM"	"DEgenes_IntHCM"
"ENSG00000171812"	"ENSG00000260947"	"ENSG00000119917"	NA	NA
"ENSG00000225978"	"ENSG00000143816"	"ENSG00000115290"	NA	NA
"ENSG00000101938"	"ENSG00000090920"	"ENSG00000005981"	NA	NA
"ENSG00000196616"	"ENSG00000158246"	"ENSG00000269978"	NA	NA
"ENSG00000118777"	"ENSG00000117600"	"ENSG00000144893"	NA	NA
"ENSG00000139193"	"ENSG00000179136"	"ENSG00000165929"	NA	NA
"ENSG00000131203"	"ENSG00000258274"	"ENSG00000117091"	NA	NA
"ENSG00000091831"	"ENSG00000230102"	"ENSG00000227036"	NA	NA
"ENSG00000136542"	"ENSG00000141738"	"ENSG00000182580"	NA	NA
"ENSG00000229694"	"ENSG00000184925"	"ENSG00000091831"	NA	NA
"ENSG00000246100"	"ENSG00000163898"	"ENSG00000169508"	NA	NA
"ENSG00000198821"	"ENSG00000101311"	"ENSG00000246430"	NA	NA
"ENSG00000004468"	"ENSG00000173930"	"ENSG00000048540"	NA	NA
"ENSG00000250208"	"ENSG00000196616"	"ENSG00000248905"	NA	NA
"ENSG00000211896"	"ENSG00000130294"	"ENSG00000004468"	NA	NA
"ENSG00000010932"	"ENSG00000250878"	"ENSG00000183801"	NA	NA
"ENSG00000137078"	"ENSG00000164530"	"ENSG00000115085"	NA	NA
"ENSG00000253369"	"ENSG00000196664"	"ENSG00000184005"	NA	NA
"ENSG00000110448"	"ENSG00000142512"	"ENSG00000100385"	NA	NA
"ENSG00000126861"	"ENSG00000112149"	"ENSG00000198851"	NA	NA
"ENSG00000211895"	"ENSG00000099957"	"ENSG00000064692"	NA	NA
"ENSG00000108821"	"ENSG00000149575"	"ENSG00000136944"	NA	NA
"ENSG00000244227"	"ENSG00000259498"	"ENSG00000140749"	NA	NA
"ENSG00000225383"	"ENSG00000175820"	"ENSG00000113396"	NA	NA
"ENSG00000162009"	"ENSG00000154277"	"ENSG00000153233"	NA	NA
